Grid ID,Latitude,Longitude,Area Sq Km,Road Density,Waterhole Count 10km,Distance to Water km,Distance to Gate km,Patrol Proxy,Response Time Min,Vegetation Proxy,Normalized Road Density,Normalized Waterhole Count 10km,Normalized Distance to Gate km,Normalized Response Time Min,DVI,pos_y,pos_x,Staff,Drones,Cameras,Is_Covered
86ac86a5fffffff,-19.53407018,16.42930527,39.89,10.7046,0,199.71,60.96,0.0163,8.46,0.0,0.009942719,0.0,0.346393482,0.615613383,0.1990230585081763,-2168.28178998,1725.0770533500001,0.0,0.0,0.0,1.0
86ac8110fffffff,-19.20738635,14.62973647,39.11,194.9547,0,15.451,133.12,0.0075,4.49,0.357,0.184216351,0.0,0.778696382,0.320446097,0.2903000802241963,-2132.01988485,1536.12232935,0.0,0.0,0.0,1.0
86ac86797ffffff,-18.92779705,17.1554312,40.35,169.9991,0,280.197,140.37,0.0071,1.64,0.0,0.160612005,0.0,0.822130362,0.108550186,0.0055400010000294,-2100.98547255,1801.320276,0.0,0.0,0.0,1.0
86ac815a7ffffff,-18.93110447,15.15662334,39.42,173.0104,0,78.592,88.87,0.0112,3.37,0.0053,0.163460254,0.0,0.513599329,0.237174721,0.1600482449061172,-2101.35259617,1591.4454507,0.0,0.0,0.0,1.0
86ac80cf7ffffff,-19.30167123,16.18544925,39.83,272.9954,0,173.698,31.2,0.0315,1.62,0.0,0.258031433,0.0,0.168104481,0.107063197,0.127291152604566,-2142.48550653,1699.4721712500002,0.0,0.0,0.0,1.0
86ac8636fffffff,-19.34934389,16.41250218,39.92,173.1764,0,197.341,54.93,0.018,0.52,0.0,0.163617266,0.0,0.310268392,0.02527881,0.0675130919603196,-2147.77717179,1723.3127289000001,0.0,0.0,0.0,1.0
86ac81557ffffff,-18.94379703,14.93753849,39.31,229.5848,0,58.162,108.9,0.0091,5.77,0.0207,0.216971358,0.0,0.633596933,0.415613383,0.2977031463181152,-2102.76147033,1568.44154145,0.0,0.0,0.0,1.0
86ac8109fffffff,-18.89489094,14.71375505,39.21,177.1625,0,41.809,132.76,0.0075,2.26,0.0616,0.167387533,0.0,0.77653966,0.15464684,0.0634646831114124,-2097.33289434,1544.94428025,0.0,0.0,0.0,1.0
86ac86a8fffffff,-19.45842468,16.64569031,40.01,170.8725,0,221.913,80.63,0.0123,2.19,0.0,0.161438114,0.0,0.464234364,0.149442379,0.0402862439280794,-2159.88513948,1747.7974825499998,0.0,0.0,0.0,1.0
86ac8668fffffff,-18.78471556,16.97432708,40.29,284.9957,0,265.052,129.1,0.0077,5.5,0.0,0.26938196,0.0,0.754612988,0.395539033,0.0236876327237073,-2085.1034271599997,1782.3043433999999,4.0,0.0,0.0,1.0
86ac86267ffffff,-19.22613708,16.40131626,39.94,294.4241,0,196.937,54.95,0.018,5.28,0.0,0.278299847,0.0,0.31038821,0.379182156,0.1196693560371305,-2134.10121588,1722.1382073000002,0.0,0.0,0.0,1.0
86ac8071fffffff,-18.89134085,15.81600265,39.73,155.5116,0,145.043,49.16,0.0201,4.07,0.0001,0.14690895,0.0,0.275700935,0.289219331,0.2122464334755796,-2096.93883435,1660.68027825,0.0,0.0,0.0,1.0
86ac82d0fffffff,-18.63399207,16.90450416,40.29,430.3621,0,262.79,131.7,0.0076,2.9,0.0,0.406877302,0.0,0.770189312,0.202230483,0.0175672646450322,-2068.3731197700004,1774.9729367999998,4.0,0.0,0.0,1.0
86ac8670fffffff,-19.06646993,16.94469526,40.22,342.7351,0,255.785,114.68,0.0087,4.53,0.0,0.323994983,0.0,0.668224299,0.323420074,0.0150639609790228,-2116.37816223,1779.1930023,4.0,0.0,0.0,1.0
86ac8142fffffff,-18.88242699,14.93240913,39.32,48.8992,0,62.013,112.24,0.0089,5.09,0.016,0.046069221,0.0,0.653606518,0.365055762,0.3325038245505256,-2095.94939589,1567.90295865,0.0,0.0,0.0,1.0
86ac8646fffffff,-19.14784813,17.12015492,40.29,336.0241,0,273.025,130.89,0.0076,0.52,0.0,0.317647359,0.0,0.765336688,0.02527881,0.0032599742604738,-2125.41114243,1797.6162666,0.0,0.0,0.0,1.0
86ac86057ffffff,-19.32071015,16.85652906,40.13,152.7767,0,244.067,101.56,0.0098,6.05,0.0,0.144322135,0.0,0.589623772,0.436431227,0.0564124683383341,-2144.59882665,1769.9355513,0.0,0.0,0.0,1.0
86ac82d47ffffff,-18.64157236,16.79367233,40.24,152.7529,0,251.456,121.89,0.0082,3.09,0.0,0.144299624,0.0,0.711418644,0.216356877,0.0345153293715583,-2069.21453196,1763.33559465,0.0,0.0,0.0,1.0
86ac81c47ffffff,-19.25661186,14.85365445,39.21,129.2767,0,36.211,109.19,0.0091,8.23,0.0895,0.122094574,0.0,0.635334292,0.598513011,0.344281833641781,-2137.48391646,1559.63371725,0.0,0.0,0.0,1.0
86ac818dfffffff,-19.30220089,14.58263249,39.07,99.8101,1,9.885,137.38,0.0073,4.3,0.5174,0.094223483,0.5,0.804217589,0.306319703,0.2920384479381501,-2142.54429879,1531.17641145,0.0,0.0,2.0,1.0
