Grid ID,Latitude,Longitude,Ti,DVI,RRi,Pt
86ac8159fffffff,-18.80825438,15.14623268,0.21344654035003677,0.1213233309299664,0.029200121509896024,0.8786766690700336
86ac8174fffffff,-18.75690248,14.42852469,0.4095636675540362,0.32521486757420076,0.24086606759436532,0.6747851324257992
86ac81747ffffff,-18.78451342,14.48548911,0.06927360731592982,0.036593976199457125,0.003914345082984425,0.9634060238005429
86ac8644fffffff,-19.08608023,17.11434746,0.013897203702198204,0.008720624476791979,0.003544045251385755,0.991279375523208
86ac829a7ffffff,-18.83435875,16.69992084,0.11204102607631528,0.07288914337860664,0.03373726068089799,0.9271108566213934
86ac80197ffffff,-19.2196281,16.011366,0.22466471014949588,0.15484326122854444,0.08502181230759304,0.8451567387714556
86ac8639fffffff,-19.14295086,16.72832228,0.08051149428084879,0.04549348375062366,0.010475473220398523,0.9545065162493763
86ac81067ffffff,-19.12442769,14.45839158,0.24010771104995096,0.13924462052070885,0.03838152999146674,0.8607553794792911
86ac810efffffff,-18.96834449,14.50046436,0.0793844182135907,0.055362516195213325,0.03134061417683596,0.9446374838047866
86ac8669fffffff,-18.74999947,17.02694831,0.006984717565644256,0.0036143965993104548,0.0002440756329766536,0.9963856034006895
86ac80257ffffff,-18.98608818,15.27153391,0.22709025166596417,0.12274692411273917,0.018403596559514217,0.8772530758872609
86ac80737ffffff,-18.98026054,15.87922216,0.2703728547833105,0.16463596136538172,0.05889906794745294,0.8353640386346183
86ac8050fffffff,-19.11694897,16.16888874,0.2805212729322726,0.17655112077821608,0.07258096862415961,0.8234488792217839
86ac80cd7ffffff,-19.24010793,16.17992589,0.3050209799493724,0.1948052206403419,0.08458946133131137,0.8051947793596581
86ac80037ffffff,-19.26052283,15.8484656,0.4383675218469491,0.3049017224632171,0.17143592307948513,0.6950982775367829
86ac8004fffffff,-19.18486992,15.56483524,0.2594982672782083,0.15020029821809106,0.04090232915797384,0.849799701781909
86ac81607ffffff,-18.65575012,14.58448182,0.14944468821588872,0.08922236778928466,0.029000047362680616,0.9107776322107153
86ac8002fffffff,-19.26718382,15.73814848,0.3340596328710071,0.23135802834664848,0.12865642382228984,0.7686419716533515
86ac82c6fffffff,-18.52551538,16.67160095,0.08796707362278235,0.056737127398713644,0.025507181174644948,0.9432628726012864
86ac866afffffff,-18.84651427,16.98008397,0.011234317329667,0.0068157642704958,0.002397211211324601,0.9931842357295042
86ac81c97ffffff,-19.11530534,15.17223184,0.3131162027014525,0.18775332161186586,0.06239044052227919,0.8122466783881341
86ac8394fffffff,-18.71283121,15.19321586,0.3100151031955598,0.2153971107228996,0.1207791182502394,0.7846028892771004
86ac86a5fffffff,-19.53407018,16.42930527,0.24637460991888346,0.1990230585081763,0.1516715070974692,0.8009769414918237
86ac8110fffffff,-19.20738635,14.62973647,0.43970000878301096,0.2903000802241963,0.1409001516653816,0.7096999197758037
86ac86797ffffff,-18.92779705,17.1554312,0.009995038691066445,0.005540001000029452,0.001084963308992459,0.9944599989999705
86ac815a7ffffff,-18.93110447,15.15662334,0.258731838259274,0.16004824490611722,0.06136465155296044,0.8399517550938828
86ac80cf7ffffff,-19.30167123,16.18544925,0.2299618539384361,0.12729115260456605,0.02462045127069601,0.872708847395434
86ac8636fffffff,-19.34934389,16.41250218,0.131697039482011,0.06751309196031964,0.0033291444386282527,0.9324869080396804
86ac81557ffffff,-18.94379703,14.93753849,0.42059950816121267,0.2977031463181152,0.17480678447501768,0.7022968536818848
86ac8109fffffff,-18.89489094,14.71375505,0.10992916779889594,0.06346468311141248,0.01700019842392902,0.9365353168885875
86ac86a8fffffff,-19.45842468,16.64569031,0.07009702211106561,0.040286243928079425,0.010475465745093247,0.9597137560719206
86ac8668fffffff,-18.78471556,16.97432708,0.03394764626939299,0.023687632723707375,0.013427619178021759,0.9763123672762927
86ac86267ffffff,-19.22613708,16.40131626,0.17353669421623594,0.1196693560371305,0.06580201785802506,0.8803306439628695
86ac8071fffffff,-18.89134085,15.81600265,0.32926349826130497,0.21224643347557962,0.09522936868985428,0.7877535665244204
86ac82d0fffffff,-18.63399207,16.90450416,0.029224453868771677,0.017567264645032298,0.005910075421292915,0.9824327353549677
86ac8670fffffff,-19.06646993,16.94469526,0.02276519946307371,0.015063960979022885,0.0073627224949720585,0.9849360390209771
86ac8142fffffff,-18.88242699,14.93240913,0.48716518959395544,0.33250382455052563,0.17784245950709587,0.6674961754494744
86ac8646fffffff,-19.14784813,17.12015492,0.006359195623039962,0.003259974260473811,0.00016075289790765874,0.9967400257395261
86ac86057ffffff,-19.32071015,16.85652906,0.0785453104582697,0.05641246833833413,0.03427962621839857,0.9435875316616659
86ac82d47ffffff,-18.64157236,16.79367233,0.05675197801600194,0.034515329371558386,0.012278680727114832,0.9654846706284416
86ac81c47ffffff,-19.25661186,14.85365445,0.43075261980683494,0.344281833641781,0.257811047476727,0.655718166358219
86ac818dfffffff,-19.30220089,14.58263249,0.44711634872761324,0.2920384479381501,0.1369605471486869,0.7079615520618499
86ac86737ffffff,-19.12073221,17.06163122,0.04061998948230009,0.026033034159258235,0.011446078836216381,0.9739669658407417
86ac810d7ffffff,-18.90101867,14.60456595,0.08409337072029245,0.06436737931589367,0.04464138791149489,0.9356326206841064
86ac8185fffffff,-19.43042203,14.48335991,0.2533723310331538,0.170767299646502,0.08816226825985013,0.829232700353498
86ac82d6fffffff,-18.67622705,16.7411259,0.07630971726290438,0.047856688858366546,0.019403660453828714,0.9521433111416334
86ac80607ffffff,-18.80241665,15.75286222,0.3021701305371192,0.2279194033127077,0.15366867608829626,0.7720805966872923
86ac8119fffffff,-19.04511242,14.78108672,0.12688136627619606,0.0705158522886633,0.014150338301130556,0.9294841477113367
86ac81c4fffffff,-19.22900328,14.79635398,0.23552069297533332,0.13316987886475687,0.0308190647541804,0.8668301211352432
86ac80337ffffff,-19.21885803,15.51245649,0.364317026901676,0.23105012933075242,0.09778323175982884,0.7689498706692476
86ac80ce7ffffff,-19.33587904,16.13289076,0.2515877908978016,0.1712480465228454,0.09090830214788918,0.8287519534771546
86ac8006fffffff,-19.24631977,15.57016718,0.26090191357942955,0.1923302953512821,0.12375867712313464,0.8076697046487179
86ac81cf7ffffff,-19.15541105,15.01031105,0.4930342659360238,0.3671180798386607,0.2412018937412976,0.6328819201613394
86ac862d7ffffff,-18.99963513,16.54785104,0.08406788580249168,0.0435340389904088,0.0030001921783259257,0.9564659610095912
86ac80577ffffff,-19.15120756,16.11637644,0.25631199098716045,0.18094292600752035,0.10557386102788024,0.8190570739924796
86ac80c1fffffff,-19.36322356,16.19097579,0.22473585032914684,0.13124907841431616,0.03776230649948547,0.8687509215856839
86ac80adfffffff,-19.25923584,15.35008743,0.36519662072002046,0.20730678058571073,0.049416940451400965,0.7926932194142893
86ac81b97ffffff,-19.30805572,14.47336391,0.11630361450051874,0.0673609781970033,0.018418341893487875,0.9326390218029967
86ac8102fffffff,-19.11849497,14.56755896,0.1669287529919926,0.09599954682791256,0.025070340663832517,0.9040004531720874
86ac8154fffffff,-18.95003843,14.82813199,0.3023203686797324,0.18139222120783943,0.060464073735946464,0.8186077787921606
86ac801a7ffffff,-19.31530681,15.96432342,0.27281634132689336,0.15790893810530277,0.04300153488371215,0.8420910618946973
86ac81727ffffff,-18.86730672,14.65662747,0.15792873032054305,0.09011918258137458,0.022309634842206116,0.9098808174186255
86ac8666fffffff,-18.95782675,16.71127161,0.0678645409330312,0.03701014184977791,0.006155742766524626,0.9629898581502221
86ac80217ffffff,-19.0070484,15.43890957,0.4357749672183416,0.2888426642277131,0.14191036123708464,0.7111573357722869
86ac8052fffffff,-19.17853379,16.17440573,0.20088476817185813,0.11291366897290682,0.024942569773955515,0.8870863310270932
86ac81407ffffff,-18.84857251,14.98455763,0.3447110880424515,0.2692334556869669,0.1937558233314822,0.7307665443130331
86ac86a97ffffff,-19.45127391,16.75680562,0.06760629736664754,0.04259950706569547,0.017592716764743402,0.9574004929343045
